i.id0,i.name.en,i.vmvars,R_3_3,R_3_5,R_3_10,R_5_3,R_5_5,R_5_10,R_10_3,R_10_5,R_10_10,L_3_3,L_3_5,L_3_10,L_5_3,L_5_5,L_5_10,L_10_3,L_10_5,L_10_10,C_3_3,C_3_5,C_3_10,C_5_3,C_5_5,C_5_10,C_10_3,C_10_5,C_10_10
VANNDEKAR,Water covered area in rivers,VANNDEKAR,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
QMIN,Minimum water flow summer and Minimum water flow winter,"QMINS, QMINV",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
VANNSTVAR,Water level changes in lakes,VANNSTVAR,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
HR2XSD,Water level changes in lakes related to Secchi-depth,HR2XSD,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
SECCI,Secchi depth,SECCI,,,,,,,,,,5.166666666666667,4.333333333333333,1.6666666666666667,4.666666666666667,3.5,1.5,3.1666666666666665,1.3333333333333333,0.3333333333333333,7.333333333333333,4.666666666666667,0.8333333333333334,7,4.5,0.8333333333333334,6.333333333333333,3.1666666666666665,0.3333333333333333
P-TOT,Total phosphorus (Tot-P),P-TOT,12,10.333333333333334,8,11.333333333333334,9.5,7.333333333333333,10.166666666666666,9.333333333333334,6.833333333333333,9.5,8,3.3333333333333335,8.166666666666666,6.5,2.8333333333333335,5.833333333333333,4.833333333333333,2.3333333333333335,9.5,6.5,2.5,9.5,6.166666666666667,2.1666666666666665,8.5,5,1.1666666666666667
P-PO4,Phosphate (PO4) - coastal waters,P-PO4,,,,,,,,,,,,,,,,,,,8.666666666666666,4.666666666666667,1.8333333333333333,8.5,4,1.6666666666666667,6.666666666666667,3.8333333333333335,0.6666666666666666
N-TOT,Total nitrogen (Tot-N),N-TOT,12,10,8,11.166666666666666,9.333333333333334,7.333333333333333,10.166666666666666,9,6.666666666666667,9.833333333333334,8.166666666666666,3.3333333333333335,8.166666666666666,6.333333333333333,2.8333333333333335,5.833333333333333,4.666666666666667,2.1666666666666665,9.5,6.5,2.5,9.5,6.166666666666667,2.1666666666666665,8.5,4.833333333333333,1.3333333333333333
N-NH3,Ammonia & ammonium,"N-NH3, N-NH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,Oxygen (O2),O2,0.5,0,0,0.5,0,0,0,0,0,4.166666666666667,2.1666666666666665,0.3333333333333333,3.3333333333333335,0.8333333333333334,0,0.16666666666666666,0,0,8,5.833333333333333,2.1666666666666665,7.833333333333333,5.333333333333333,1.5,6.833333333333333,4.166666666666667,0.8333333333333334
PH,pH - lakes and rivers,PH,11.666666666666666,11.333333333333334,8.166666666666666,11.333333333333334,10.166666666666666,7.166666666666667,10.166666666666666,9.666666666666666,7,9.166666666666666,8,4.666666666666667,8.166666666666666,7.166666666666667,3.8333333333333335,6.166666666666667,5.833333333333333,2.8333333333333335,,,,,,,,,
LAL,Inorganic/Labile aluminum (LAl) - lakes and rivers,LAL,7.166666666666667,5.166666666666667,2.1666666666666665,6.333333333333333,4.333333333333333,1.6666666666666667,5.5,3.8333333333333335,1,5.666666666666667,3.8333333333333335,1.1666666666666667,4.5,3.3333333333333335,0.6666666666666666,2.1666666666666665,1.1666666666666667,0,,,,,,,,,
ANC,Acid Neutralizing Capacity (ANC) - lakes and rivers,ANC,7.666666666666667,7,5.5,7.666666666666667,7,4.333333333333333,7.5,6.666666666666667,3.1666666666666665,7.5,5.666666666666667,1.6666666666666667,6.666666666666667,4.833333333333333,1.1666666666666667,3.8333333333333335,2.1666666666666665,0.16666666666666666,,,,,,,,,
AIP,AIP: Norwegian Acidification Index for Periphyton in rivers,"AIP, BEEQR_A, BENEQR_A",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TIc,TIc: Norwegian Trophic Index for Lake Macrophytes,"TIANTL, MFEQR_E, MFNEQR_E",,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
SIc,SIc: Norwegian Acidification Index for Lake Macrophytes,"SIANTL, MFEQRA, MFNEQRA",,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
WIc,WIc: Norwegian Water Level Regulation Index for Lake Macrophytes,"WIANTL, MFEQR_H, MFNEQR_H",,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
RSL,RSLA/RSL: Reduced Species List - benthic macroalgae in coastal areas,"MAEQR_E, MANEQR_E",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Alegress,Seagrass - eutrophication/organic pollution in coastal waters,"ANTIZM, ANEQR_E, ANNEQR_E",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
PIT,PIT: Norwegian Periphyton Index for Trophic status of rivers,"PIT, BEEQR_E, BENEQR_E",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ASPT,ASPT: Average Score Per Taxon - benthic macroinvertebrates in rivers,ASPT,8.333333333333334,7.5,3.1666666666666665,8.166666666666666,6.666666666666667,2.6666666666666665,6.166666666666667,4.833333333333333,1.3333333333333333,,,,,,,,,,,,,,,,,,
RAMI,RAMI: River Acidification Macroinvertebrate Index,RAMI,7.5,6.166666666666667,2.1666666666666665,6.833333333333333,5.166666666666667,1.8333333333333333,5,3.6666666666666665,0.5,,,,,,,,,,,,,,,,,,
LAMI,LAMI: Lake Acidification Macroinvertebrate Index,LAMI,,,,,,,,,,0.6666666666666666,0,0,0.16666666666666666,0,0,0,0,0,,,,,,,,,
Raddum-2,Raddum Index-2: Norwegian Acidification Index 2,RADDUM2,6.833333333333333,5.666666666666667,1.3333333333333333,5.666666666666667,4.666666666666667,0.8333333333333334,3.3333333333333335,1.5,0,,,,,,,,,,,,,,,,,,
Raddum-1,Raddum Index-1: Norwegian Acidification Index 1,RADDUM1,,,,,,,,,,0.5,0,0,0.16666666666666666,0,0,0,0,0,,,,,,,,,
MultiClear,MultiClear: Multimetric index for acidification of Clear lakes,MCLEAR,,,,,,,,,,0.8333333333333334,0,0,0.16666666666666666,0,0,0,0,0,,,,,,,,,
EMANTLLE,River pearl mussel (Margaritifera margaritifera),"EMANTLLE_LT20, EMANTLLE_LT50, EMANTLLE_MT50",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Blotbunnsfauna,Softbottom macrofauna (benthic invertebrates) - eutrophication/organic pollution/sedimentation in coastal areas,"MBEQR_G, MBNEQR_G",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
HBI2,HBI2: Heterotrophic Growth Index for rivers,"HBI2, BEEQR_G, BENEQR_G",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
PTI,PTI: Norwegian Phytoplankton Trophic Index for Lakes,PPTI,,,,,,,,,,6.333333333333333,3.8333333333333335,1.6666666666666667,3.8333333333333335,2.8333333333333335,1.6666666666666667,2.3333333333333335,1.8333333333333333,1,,,,,,,,,
LACI-1,LACI-1:Lake Acidification Crustacean Index 1,LACI1,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
LACI-2,LACI-2:Lake Acidification Crustacean Index 2,LACI2,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
NEFI,NEFI: Norwegian Index for Changes in the Fish Community,FINEFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
FIBESTE,Changes in abundances of fish - lakes and rivers,FIBESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
EIndexW3,EIndexW3: Eutrophication Index for fish in lakes,FIEINDW3,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
AIndexW5,AIndexW5: Acidification Index for fish in lakes,FIAINDW5,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
WS-FBI,WS-FBI: Fish pelagic index for lakes,FIWS_FBI,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
KLFA,Phytoplankton chlorophyll (Chla) in lakes,KLFA,,,,,,,,,,7.5,5.333333333333333,2.3333333333333335,6,4.333333333333333,2.1666666666666665,4.166666666666667,2.5,1.8333333333333333,10.166666666666666,5.666666666666667,2.3333333333333335,10,5.5,1.8333333333333333,9,4.666666666666667,0.8333333333333334
PPBIOMTOVO,Total biovolume phytoplankton in lakes,PPBIOMTOVO,,,,,,,,,,5.333333333333333,3.5,2.1666666666666665,3.6666666666666665,2.8333333333333335,1.8333333333333333,2.3333333333333335,1.8333333333333333,0.6666666666666666,,,,,,,,,
Cyanomax,Cyanomax: Cyanobacteria maximum in lakes,CYANOM,,,,,,,,,,1.1666666666666667,0.5,0,0.5,0,0,0,0,0,,,,,,,,,
MSMDI,MSMDI: Multi Species Macroalgae Depth Index,"MSMDI1, MSMDI2, MSMD13",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
